sentence,length,ambiguous_words,incorrect_words,candidate_analyses
নদীৰ মৃত্যুৰ লগে লগে সেই সেই নদীৰ অৱবাহিকা তৰাং হৈছে আৰু তাত পাৰত গঢ়ি উঠা মানৱ সভ্যতাও উচ্ছন্ন হৈ গৈছে ।,21,14,4,368640
বুঢ়াজনে পুতেকৰ লগত মোক চিনাকি কৰি দিলে ।,8,5,1,180
মই এই বিলাকৰহে ব্যাখ্যা কৰিছো ।,6,2,0,6
ক্ৰীড়া মন্ত্ৰীগৰাকীয়ে কয় যে তদন্ত সমিতিয়ে অহা চাৰি সপ্তাহৰ ভিতৰত ব্ৰিজ ভূষণৰ বিৰুদ্ধে উত্থাপিত অভিযোগসমূহ পৰীক্ষা কৰিব ।,18,13,1,46080
উল্লেখযোগ্য নৰেন্দ্ৰ গিৰি এজন প্ৰভাৱশালী ধৰ্মীয় গুৰু আছিল ।,9,6,1,192
"যুগ সলনি হ'ল , এটা সময় আছিল যেতিয়া হয়তো কিছুমান বাতৰি আমি সঁচা নে মিছা সেয়া জনাৰ কোনো উপায় নাছিল ।",21,12,5,435456
"তেওঁ কয় যে কেৱল অসমতে নহয় , দেশৰ বিভিন্ন প্ৰান্তত আনকি বিদেশতো কোচ ৰাজবংশী লোকসকলৰ বসতি আছে ।",18,10,2,11664
""" ভাতৃ হিচাপে ভালকৈ জানো সৎ আৰু নিৰ্ভীকভাৱে সাংবাদিকতা কৰি নিজৰ দায়িত্ব পালন কৰিছিল সি ।",16,11,2,414720
আজিৰ বৈঠকতে এই বৰ্ষত মথাউৰিসমূহ বহল কৰাৰ ওপৰত গুৰুত্ব দিয়া হ'ব বুলি আলোচনা কৰি মাথো শেহতীয়াকৈ ওপৰেৰে নদীৰ পানী বৈ যোৱা মথাউৰিৰ অংশসমূহ ওখ কৰা হ'ব বুলি সিদ্ধান্ত গ্ৰহণ কৰে ।,31,19,2,47775744
এই যোজনাখনৰ জৰিয়তে এনেধৰণৰ কৃষকসকলকো সামৰি লোৱাৰ বাবে নিৰ্দেশ দিয়া হয় ।,12,6,1,1620
সময়ে সময়ে বিভিন্ন জনগোষ্ঠীৰ সমাৰোহ আয়োজনেৰে অঞ্চলটো কৃষ্টি সংস্কৃতিৰ সৈতে স্থানীয় জনসাধাৰণৰ লগতে দেশী বিদেশী পৰ্যটক সকলক পৰিচিত কৰাত কলাক্ষেত্ৰই প্ৰশংসনীয় ভূমিকা লবলৈ সক্ষম হৈছে বুলিও কয় ।,28,16,5,4915200
"তেওঁৰ মৃত্যুৰ পিছত , ল'ৰাবোৰ সম্পত্তিৰ দাবীদাৰ হ'ব ।",9,4,0,24
"তদুপৰি শ্ৰীমন্ত শংকৰদেৱ , মাধৱদেৱৰ যি কৃতি সেয়া পৰৱৰ্তী সময়ত শিল্পী সকলে আগবঢ়াই নিছে ।",15,8,2,12960
"ইফালে , ৰঙাপৰাত থকা ভাৰতীয় জীৱন বীমা নিগমৰ কাৰ্যালয়তও পুৱাৰে পৰা ভক্তৰ লানি নিছিগা সোঁত বোৱা পৰিলক্ষিত হৈছে ।",19,14,3,5184000
সেই কাৰণে প্লেটোৱে কৈছে যে সকলো বোৰ অতি-কথাই মিছা ।,10,5,1,192
তেওঁ লগতে কয় যে ৰাজ্যখনৰ মুছলমান সম্প্ৰদায়ত দৰিদ্ৰতা আৰু নিৰক্ষৰতা দূৰ কৰাৰ একমাত্ৰ উপায় হৈছে দুই সন্তান নীতি ।,19,11,1,46080
বহু দল সংগঠনে উচ্চতম ন্যায়ালয়ত দাখিল কৰা আবেদনৰ ভিত্তিত ১৮ ডিচেম্বৰ বুধবাৰে আবেদন বোৰৰ ওপৰত শুনানি আৰম্ভ হ'ব ।,19,8,2,3840
দেউতাৰ শুশ্ৰূষাত লাগি থকা বাবে মাজে মাজে আলোচনা শুনাৰ সৌভাগ্য মোৰ হৈছিল ।,13,8,5,38880
পৰৱৰ্তী কালত বিভাগীয় বিষয়াৰ উদাসীনতা আৰু পামখনৰ অকাল মৃত্যুঘণ্টাত বৃহত্তৰ অঞ্চলটোৰ ৰাইজে এৰী পালন কৰিবলৈ এৰি দিয়ে ।,18,12,2,46080
অৱশ্যে ত্ৰিকোণীয়া প্ৰেমৰ বাবেও এই হত্যাকাণ্ড সংঘটিত হোৱাৰো আশংকা প্ৰকাশ কৰিছে আৰক্ষীয়ে ।,13,7,2,11664
আপোনাৰ জ্যেষ্ঠ আৰু জ্যেষ্ঠসকলৰ প্ৰতি আপোনাৰ সন্মানৰ অনুভূতি থাকিব ।,10,6,3,288
মই এইটো ভুল কৰিলোঁ ।,5,2,2,6
সুৰভি পেছাত ডাক্তৰ আৰু পাৰমিতাই এটা কোম্পানীত চাকৰি কৰি আছে ।,11,8,0,10368
পৃথক কমতাপুৰৰ দাবীত গঢ় লৈ উঠিল আন এক বিদ্ৰোহী সংগঠন ।,11,7,3,1080
এই মাহৰ শেষলৈ আৰু হ্ৰাস পাব আক্ৰান্ত হাৰ ।,9,6,4,1440
কিন্তু এই পুৰণি নোটৰ ক্ষেত্ৰত কেবাটাও চৰ্ত ৰাখিছে ৱেবছাইটবোৰে ।,10,6,2,216
তুলসী গ্ৰহণ কৰক ।,4,1,1,3
অভিনেতাগৰাকীৰ গুণমুগ্ধ একাংশ পৰ্যটকে কাজিৰঙা ৰাষ্ট্ৰীয় উদ্যানৰ অন্তৰ্ভাগতে অভিনেতাগৰাকীক কাষত পাবলৈ হেতা-ওপৰা লগোৱা পৰিলক্ষিত হয় ।,16,10,0,3456
অমংগলীয়া কিবা এটা ঘটিব বুলি আগৰে পৰা চিন্তা কৰি থকাটো ভাল কথা নহয় ।,14,10,6,80640
"প্ৰতিজন খেলুৱৈয়ে দেশৰ ভিন্ন স্থান , ভিন্ন সংস্কৃতিৰ সৈতে জড়িত ।",11,6,1,144
