"IdeaID","meaning","meaningAsm"
"4765","A block of stone or wood containing a hole in the center for cleaning grain with a <b><i>Dhenki</i></b>.","ঢেঁকিৰ দ্বাৰা শস্য পৰিস্কাৰ কৰিবলৈ ব্যৱহাৰ কৰা কাঠৰ বা শিলৰ খোৰোং |"
"4766","one who makes and/or sells sweet items like biscuit, cake, pastry etc.","বিস্কুট, কেক, পেষ্ট্ৰী আদি মিঠা খোৱা বস্তু তৈয়াৰ কৰা আৰু/ বা বিক্ৰী কৰা লোক৷ "
"4767","to hide, lurk or move around secretly with a bad intention","কূ অভিপ্ৰায়েৰে বা বেয়া উদ্দেশ্যৰে জোপ লোৱা, গোপনে অহা-যোৱা কৰা"
"4768","Kuki is the major tribes inhabiting in Kohima District of Nagaland. They prefer to live on hill tops and their villages are a cluster of closely constructed houses.Kukis cultivate dwarf cotton and spun yarns for their own use. Both men and women of this tribe enjoy smoking from their extensively crafted pipes.Marriage among Kukis is monogamous; they prefer cross-cousin marriage.Mimkuut Festival, which falls in the month of January, is the major festival celebrated by Kukis.","উত্তৰ পুব ভাৰতৰ এজাতি পৰ্ব্বতীয়া জনজাতি । ঘাই বসতিস্থল হ’ল নাগালেণ্ডৰ ক’হিমাত।"
"4770","A drink credited with magical power; can make the one who takes it love the one who gave it.","মন মুহিব পৰা অথবা বশ কৰিব পৰা শক্তি থকা বুলি বিশ্বাস কৰা এবিধ দৰৱ |"
"4771","diluted milk mixed with water, usaully given to people/children with digestion problem. ","পানী মিহলাই খাবললৈ দিয়া পাতল গাখীৰ।"
"4772","Dipping tobacco, also known as moist snuff or spit tobacco. It is an acting of dipping or packing a lip with a small clump of tobacoo is \'pinched\' out of the tin and placed between the lower lip and the gums. commonly referred to as dip while the act of using it is called dipping or packing . Instead of literally chewing on tobacco, ","ওঁঠ আৰু দাঁতৰ আলুৰ মাজত ভৰাই নিচা কৰিবৰ বাবে লোৱা চূণ আৰু চাধাৰ সংমিশ্ৰণ৷"
"4773","A white gum yielding tree and its fruit. The fruit tastes sour and used to make curry in Assam and NE states of India. It has four main species; viz, Kau thekera (<i>Carallia integerrima</i>), Kuji thekera (<i>Garcinia cowa</i>), Bor thekera (<i>Garcinia pedunculata</i>), and Rupohi thekera (<i>Garcinia indica</i>).","এবিধ গাৰপৰা বগা এঠা ওলোৱা গছ আৰু তাৰ টেঙা ফল ইয়াৰ চাৰিবিধ আছেঃ যেনে-কাউ-থেকেৰা; কুঁজী-থেকেৰা; বৰ-থেকেৰা; ৰুপহী- থেকেৰা ৷"
"4774","Something that has been transcribed; a written record (usually typewritten) of dictated or recorded speech.","লিখিত বা কথিত কথাৰ অন্য এক ৰূপ; প্ৰতিলিপি সদৃশ |"
"4775","Something written, especially copied from one medium to another, as a typewritten version of dictation.","কোনো পুথিত/লিখনীত কোনো এক পাঠ/শব্দ যেনেকৈ লিখা থাকে তাৰ অন্য এক ৰূপ |"
"4776","An act of hitting your foot against something while you are walking or running and almost falling. ","খোঁজ কাঢ়োঁতে ভৰিৰ আগফালে কোনো বাধাত লগা খুন্দা বা সেই খুন্দা খাই বাগৰি পৰিব খোজা অৱস্থা ।"
"4777","transition of the sun from one zodiacal sign to the next","সূৰ্যৰ এটা ৰাশিৰ পৰা অন্য ৰাশিলৈ গমন"
"4778","creations of human mind and brain and includes copyrights,patients,trademarks, industrial designs,layout designs etc. and the protection of undisclosed information.","মানুহৰ মন আৰু মগজুসৃষ্ট সম্পদ৷"
"4779","A wife's elder brother.","পত্নীৰ ককায়েক ।"
"4780","rights to uphold life, liberty,equality and dignity of individuals (guranteed by the constitution in some countries) or embodied in the International Convenants and also enforceable by courts of some countries","নাগৰিকৰ জীৱন,সমতা, সন্মান,স্বাধীনতা আদি বিষয়ক আইন প্ৰদত্ত অধিকাৰ"
"4781","Maternal uncle of one\'s father/mother ","মাক/দেউতাকৰ মোমাইয়েক । 
"
"4782","Least high in position or status","পদবী বা অৱস্থানৰ ক্ষেত্ৰত আটাইতকৈ তলত"
"4783","(Of a broadcast, performance, etc.) Heard or seen at the time of its performance or with an audience present","প্ৰদৰ্শন বা পৰিৱেশনৰ সময়তে চাই থকা বা শুনি থকা"
"4784","Break in an electric circuit",
"4785","Of or concerning money","টকা-পইচা সম্বন্ধীয়"
"4786","to encourage or assist in an offence or offender","বেয়া কাম কৰিবলৈ উত্সাহ দে"
"4787","to have sex to reproduce, produce young","বংশবৃদ্ধি কৰিবলৈ যৌন সহবাস কৰ্"
"4788","A situation or condition of wide physical damage and destructions (may be caused by man, nature or animal or such other factors)","প্ৰাকৃতিক কাৰণত হোৱা বা মানুহ বা জন্তুৱে বিশদভাৱে কৰা ঘৰ-দুৱাৰ,ৰাষ্টা-ঘাট-দলং, খেতি-বাতি আদিৰ হানি"
"4789","relating/pertaining to causes of an event or phenomena.",
"4790","relation between the cause or causes with effect","কাৰণ আৰু ফল বা প্ৰভাৱৰ মাজৰ সম্পৰ্ক"
"4791","hendredth anniversary, completion of hundred years","শতবৰ্ষ বা এশ-বছৰীয়া জয়ন্তী, ১০০ বছৰ পূৰণ বা অতিক্ৰম"
"4792","A bloodsucking aquatic or terrestrial worms typically having a sucker at each end","পানীত বা বামত থকা এবিধ তেজ-পিয়া পোক "
"4793","Any of the various musical wind instruments especially one made from buffalo horns","মুখেৰে বতাহ উলিয়াই বজোৱা এবিধ বাদ্যযন্ত্ৰ"
"4794","the state or fact of existence, consciousness, or life, or something in such a state. ","অস্তিত্ব, চেতনা বা জীৱনৰ সত্য বা অৱস্থাটো, অথবা তেনে অৱস্থাত থকা কোনো বস্তু। "
"4795","tree native to Sri Lanka, India and Indonesia and is popular throughout Southeast Asia and parts of East Asia. It is also grown in Brazil, Ghana, Guyana and French Polynesia. Carambola is commercially grown in the United States in south Florida and Hawaii. Available in two varieties acidulate and sweet","দক্ষিণ আৰু দক্ষিণ-পূব এছিয়াত পোৱা এবিধ পকিলে হালধীয়া হোৱা ফল| দুটা প্ৰকাৰত পোৱা যায়-টেঙা আৰু মিঠা| অসমত মিঠা বিধক <b>ৰহদৈ</b> আৰু টেঙাবিধক <b>কৰ্দ্দৈ</b> বোলা হয়|"
"4796","a hard outer covering of some fruits like coconut","নাৰিকলৰ দৰে কিছুমান ফলৰ বাহিৰৰ কঠিন আৱৰণ"
"4797","to request something officially or according to the rules","আনুষ্ঠানিকভাৱে বা নিয়মানুসৰি কিবা অনুৰোধ কৰ্"
"4798","the quality of being applicable","প্ৰয়োগ কৰিব পৰা হোৱা গুণ"
"4799","something that can be applied, fit to apply","যিটো প্ৰয়োগ কৰিব পাৰি; প্ৰয়োগ কৰাৰ যোগ্য"
"4800","quickness in movement",
"4801","to give something for a purpose","কোনো উদ্দেশ্য আগত ৰাখি দে"
"4802","one's perception about self","নিজৰ সম্পৰ্কে থকা ধাৰণা"
"4803","giving up one's religion or principles","নিজৰ ধৰ্ম বা আদৰ্শ বিসৰ্জন দিয়া কাৰ্য্য"
"4804","A riverine plant with white flowers. The leaves are pointed and solid like pin.","এবিধ নৈৰ বালি বা পলসত গজা গছ ৷ ইয়াৰ পাতবিলাক খৰিকাৰ নিচিনা গোটা আৰু জোঙা ৷ ফাগুন-চ’ত মাহত তুলাৰ দৰে পাতল-পাতল ফুল ধৰে ৷"
"4805","The process of developing a seed or bud into a full blown plant",
"4806","Distinct portion forming part of or broken off from a larger object",
"4807","Itchy inflamation of the skin, often caused by sweat,",
"4808","Things that has no price or cost attached to it","যি বস্তু কোনো দাম নিদিয়াকৈ পাব পাৰি৷"
"4809","The last possible end or conclusion","সম্ভাৱ্য আটাইতকৈ শেষ অৱস্থা"
"4810","Experience or take the pleasure in","কোনো ঘটনা দেখি-শুনি আমেজ ল"
"4811","a bird of the pelican family, breeds in southern Asia from India to Indonesia in large inland and coastal waters, especially shallow lakes. It is characterized by brown spots on their pink bills",
"4812","Borrowing and leaving an article as security for repayment of the loan.","ধন ধাৰে লৈ অইনৰ ওচৰত বস্তু ৰখা কাৰ্য্য |"
"4813","Not allowed or permitted under tradition or customs","পৰম্পৰা বা ৰীতি অনুসৰি অনুমতি নোহোৱা বা বাধা থকা"
"4814","Rhythimic pulsation of a heart, etc.",
"4815","Small body of still water, blood, etc.",
"4816","Throw liquid as a spray or in small droplets","সৰু সৰু কণিকাৰ ৰূপত জুলীয়া বস্তু দলিয়াই দে"
"4817","Underground passage dug through any obstacle in order to facilitate movement","কোনো প্ৰতিবন্ধকৰ তলেৰে অহা-যোৱা কৰিবলৈ সজা বাট"
"4818","Something that may not be touched","যাক চোৱা মনা কৰা হৈছে৷"
"4819","a bird of the pelican family characterized by pure white plumage, a bare pink facial patch around the eye and pinkish legs",
"4820","Excite to anger or discomfort","খং তোলা"
"4821","Ostensible reason or excuse offered.","দায় সাৰিবলৈ দেখুওৱা মিছা কাৰণ।"
"4822","one who gives up his religion or principles",
"4823","a direction which is directly opposite to north in compass",
"4824","a direction in between between north and east in cardinal compass","উত্তৰ-পূব দিশ ।"
"4825","a direction in between between north and west in cardinal compass",
"4826","One of the ten directions mentione in Indian Literature. a direction in between south and west in cardinal compass.","দহ দিশৰ এটা দিশ। দক্ষিণ আৰু পশ্চিমৰ মাজৰ দিশ।"
"4827","a direction in between between south and east in cardinal compass",
"4828","a infectious, fatal disease that attacks intestines. it is characteristics includes inflammation in intestines.","অন্ত্ৰত হোৱা এবিধ জীৱাণুজনিত মাৰাত্মক ৰোগ। "
"4829","a sexually transmitted disease which spreads from the sex organ to whole body. ","যৌন সংগমৰ জৰিয়তে বিয়পা এবিধ সংক্ৰামক ৰোগ, যি যৌনাংগৰ পৰা গোটেই গালৈকে সোঁচৰিত হয়।"
"4830","an acute infectious disease . it's characteristics are  eruption of small red spots,fever etc",
"4831","an infectious disease caused by Mycobacterium leprae. It affects the nervous system and skin.","মাইক`বেক্টেৰিয়াম লেপ্ৰি নামৰ বেক্টেৰিয়াৰ দ্বাৰা সৃষ্ট এবিধ জীৱাণুজনিত ৰোগ। ই স্নায়বিক তন্ত্ৰ আৰু ছালক সংক্ৰমিত কৰে।"
"4832","yellowing of the skin and the whites of the eyes caused by an accumulation of bile pigment (bilirubin) in the blood; can be a symptom of gallstones or liver infection or anemia","তেজৰ ৰং পৰিৱৰ্তন হৈ শৰীৰ হালধীয়া আৰু চকু বগা পৰি যোৱা এক ধৰণৰ ৰোগ, সাধাৰণতে লিভাৰৰ দূৰ্বলতাৰ বাবে হোৱা দেখা যায় ৷"
"4833","any of various plants of genus Lilium with a large, bell-shaped flower on a long stem",
"4834","an offer by the seller of reduction in price as a goodwill gesture or to promote the product.",
"4835","woman who lives and have physical relationship with a man she is not married to, and has a lower social rank than wife","এগৰাকী মহিলা যাৰ কোনো প্ৰভাৱশালী পুৰুষৰ লগত শাৰীৰিক সমন্ধ আছে, কিন্তু তেওঁৰ লগত বিবাহপাশত আৱদ্ধ নহয়৷ এনে মহীলাৰ সামাজিক মৰ্জদা নিম্ন৷"
"4836","One of a number of different species of medium-sized to large saltwater snails or their shells. True conchs are marine gastropod molluscs in the family Strombidae, and the genus Strombus; A wind instrument of great antiquity made from mollusk shells, much used in war and military exercises, and of great value in the orchestra. Hindus and Buddhist use it in religious ceremonies ","সামূদ্ৰিক শামুকৰ খোলাৰ পৰা বনোৱা একপ্ৰকাৰৰ ফু দি বজোৱা বাদ্য |"
"4837","to give attention to a particular topic",
"4838","the ability or the process of thinking about without distraction and working hard in one direction.","লক্ষ্যৰ পৰা অলপো বিচলিত নোহোৱাকৈ কোনো দিশত চিন্তা কৰা আৰু কঠোৰ পৰিশ্ৰম কৰাৰ সামৰ্থ্য আৰু প্ৰক্ৰিয়া"
"4839","fellow countryman, people belonging to the same country","একে দেশৰ অধিবাসী "
"4840","mucous discharge from nose ",
"4841","to find out or bring back","পুনৰ ঘূৰাই আন্ বা বিচাৰি উলিয়া"
"4842","tank or a place for storing water",
"4843","One who promotes or advocates and adheres to an ideology.",
"4844","Putting an end or bring under subjugation esp. by use of force","বল প্ৰয়োগ কৰি শেষ কৰা বা বশ কৰা"
"4845","To put an end to, esp. forcibly","বল প্ৰয়োগ কৰি বশ কৰ্"
"4846","To call or name something, (like term it as inhuman)","কিহবাক নাম দে বা (কিবা এটা) বুলি ক; কামটো সকলোৱে বেয়া বুলি অভিহিত কৰিলে বা বেয়া বুলিলে।"
"4847","Examination of one's own thoughts",
"4848","A party or group having more than the minimum number of elected members required to remain in power",
"4849","Lacking sleep or unable to sleep","টোপনি নহা অথবা টোপনি নোযোৱা অৱস্থা |"
"4850","To make or become deep or deeper","গভীৰ হ বা কৰি তোল্; যেনেঃ মানুহজনৰ ওপৰত তাৰ সন্দেহ ঘনীভূত হ`ল।"
"4851","Something that can not be pardoned or forgiven.","যিটো ক্ষমাৰ অযোগ্য বা ক্ষমা কৰি দিব পৰা নাযায়।"
"4852","a police officer who (secretly) gathers evidence to prove a crime ","যিকোনো অপৰাধ সংক্ৰান্তীয় সাক্ষ্য গোপনে সংগ্ৰহ কৰা আৰক্ষী বিষয়া "
"4853","A piece of cloth to carry bittle nut, bittle leaves and knife etc.",
"4854","An Assamese fast-food made by grinding roasted parboiled rice. Often eaten with milk and sugar.","উখুৱা চাউল শুকানে ভাজি তাক গুড়ি কৰি তৈয়াৰ কৰা এবিধ অসমীয়া জলপান; সাধাৰণতে চেনি আৰু গাখীৰৰ সৈতে খোৱা হয়।"
"4855","An Assamese fast-food of powdered rice. Often eaten by mixing with mashed banana, molasses and milk.","গুড়ি কৰা চাউলৰ এবিধ অসমীয়া জলপান। সাধাৰণতে পিটিকা কল, গুৰ আৰু গাখীৰৰ সৈতে খোৱা হয়।"
"4856","an Assamese food made by grinding fried sticky rice or fried pulses","ভজা মাহ বা ভজা বৰা চাউল খুন্দি তৈয়াৰ কৰা এবিধ অসমীয়া জলপান"
"4857","an Assamese food prepared by grinding roasted sticky rice","ভজা বৰা চাউল গুড়ি কৰি প্ৰস্তুত কৰা এবিধ অসমীয়া জলপান"
"4858","An Assamese food made by grinding fried pulses.","ভজা মাহ গুড়ি কৰি প্ৰস্তুত কৰা এবিধ অসমীয়া জলপান।"
"4859","rice that has been prepared by boiling in the husk, in order to improve nutritional values and texture","পৌষ্টিকতা বৃদ্ধিৰ বাবে, সিজোৱা ধান ৰ`দত শুকাই তাৰ পৰা প্ৰস্তুত কৰা চাউল"
"4860","the act of nourishing","পুষ্টিকৰ কৰি তোলা বা কাৰোবাক পুষ্টি যোগান ধৰা কাৰ্য্য"
"4861","a powdered form of sun-dried jute leaves used to make various Assamese broths and alkaline dishes","বিভিন্ন জোল আৰু খাৰ বনাবৰ বাবে বনোৱা শুকান তিতামৰা পাতৰ গুড়ি"
"4862","to issue a film, book, etc. for general exhibition or to make publicly available","চিনেমা, কিতাপ আদি সাধাৰণ দৰ্শন বা বিক্ৰীৰ বাবে মুকলি কৰ্"
"4863","The phenomenon in which something like gas or liquid gets denser.","গেছীয় বা তৰল পদাৰ্থ ঘন হোৱা প্ৰক্ৰিয়া"
"4864","possessing the same quality or characteristics.","একে গুণ বিশিষ্ট৷"
"4865","right or supporting atmosphere for doing something","কোনো কাম কৰাৰ বাবে প্ৰয়োজনীয় পৰিৱেশৰ সৈতে খাপ খোৱা"
"4866","the act of taking possession of something by authority","কৰ্ত্তৃত্বশীলভাৱে কোনো সম্পত্তি লৈ লোৱা কাৰ্য্য"
"4867","to praise someone for getting success","সফলতা অৰ্জনৰ বাবে কাৰোবাক প্ৰশংসা কৰ্"
"4868","the act of  praising someone for getting success","কাৰোবাৰ সফলতাত শুভেচ্ছা প্ৰদান কৰা"
"4869","in succession,one after another",
"4870","someone who plans with someone else secretly to do something bad or illegal.","কোনো অসৎ বা অন্যায় কাম কৰিবলৈ কাৰোবাৰ সৈতে গোপনে পৰিকল্পনা কৰা ব্যক্তি।"
"4871","to plot or make plans together to do something bad or illegal","কোনো অসৎ বা অন্যায় কাম কৰিবলৈ কাৰোবাৰ সৈতে গোপনে পৰিকল্পনা কৰ্"
"4872","related to secretly planning something illegal or bad","কোনো অসৎ বা অন্যায় গোপন পৰিকল্পনাৰ সৈতে জড়িত"
"4873","serving to improve the present condition","বৰ্ত্তমান অৱস্থাৰ উন্নয়ন সাধিব পৰা"
"4874","Sibsagar is a historical city. It was once the capital of the Ahom rulers who dominated Assam for more than 600 years.","<center><iframe width=""425"" height=""350"" frameborder=""0"" scrolling=""no"" marginheight=""0"" marginwidth=""0"" src=""http://maps.google.com/maps?f=q&amp;hl=en&amp;time=&amp;date=&amp;ttype=&amp;q=Sibsagar,+Sibsagar,+Assam+India&amp;sll=26.759866,94.20948&amp;sspn=0.063916,0.160675&amp;ie=UTF8&amp;cd=1&amp;geocode=0,26.983580,94.630203&amp;ll=26.992378,94.634428&amp;spn=0.031892,0.080338&amp;t=h&amp;z=14&amp;om=1&amp;output=embed&amp;s=AARTsJoaZbWB3Fhi46W4ZJh-x0lRQS2LFg""></iframe><br /><small><a href=""http://maps.google.com/maps?f=q&amp;hl=en&amp;time=&amp;date=&amp;ttype=&amp;q=Sibsagar,+Sibsagar,+Assam+India&amp;sll=26.759866,94.20948&amp;sspn=0.063916,0.160675&amp;ie=UTF8&amp;cd=1&amp;geocode=0,26.983580,94.630203&amp;ll=26.992378,94.634428&amp;spn=0.031892,0.080338&amp;t=h&amp;z=14&amp;om=1&amp;source=embed"" style=""color:#0000FF;text-align:left"">View Larger Map</a></small></center>"
"4875","crippled by an injury received on the body","আঘাত আদিৰ দ্বাৰা চিৰকাললৈকে অকৰ্ম্মা হোৱা"
"4876","something that reminds us of a place, occasion or a holiday; something people buy and bring back to other people as a memory when they were on holiday in other places","কোনো ঠাই, বিশেষ দিন বা উপলক্ষ্যৰ সোঁৱৰণী ৰূপে ৰখা কিবা বস্তু;  কৰবালৈ ফুৰিবলৈ গ`লে সেই ঠাইৰ চিন স্বৰূপে অনা কিবা  বস্তু"
"4877","The mother of one\'s mother.","মাকৰ মাক ।"
"4878","horizontal surface or structure with a horizontal surface raised above the level of the surrounding area","চাৰিওকাষৰ ভূমিতকৈ ওপৰত ভূমিৰ সমান্তৰালকৈ সাধাৰণতে বাঁহ বা কাঠেৰে সজা বহল গাঁথনি বা তল "
"4879","A larval frog or toad having tail.","বেঙৰ নেজ নসৰা সৰু পোৱালী|"
"4880","one who preserves or saves something from getting damaged","যি কিহবাক ধ্বংসৰ পৰা ৰক্ষা কৰি সংৰক্ষণ কৰে"
"4881","a stomach disease, difficult or infrequent evacuation of feces from bowl",
"4882","to make or render costive, that is, very hard stool that is hard to pass.","অতি কঠিন শৌচ হ৷"
"4883","to discuss or take advice from someone","কাৰোবাৰ সৈতে আলোচনা কৰ্ বা উপদেশ গ্ৰহণ কৰ্"
"4884","the communication with someone",
"4885","the situation referred to in the text, circumstances in which the event has occured or described","ৰচনা বা টোকাৰ মাজত উল্লেখ কৰা অৱস্থা; যি প্ৰেক্ষাপটত ঘটনাটো ঘটিছিল বা বৰ্ণনা কৰা হৈছিল"
"4886","according to context","প্ৰসঙ্গ অনুসৰি হোৱা"
"4887","prevention of conception or pregnancy","গৰ্ভধাৰণত বাধা প্ৰদান"
"4888","Person or things that decide the outcome like a tie-break in a game","কোনো বিষয়ৰ সিদ্ধান্ত কৰোঁতা বা কৰিব পৰা"
"4889","To obtain something from another person's grip with some effort or difficulty","আনৰ কবলৰ পৰা কোনো বস্তু কষ্টেৰে নিজৰ হাতলৈ আন্"
"4890","Act of remembering or bringing back to memory","পুৰণি বা আগেয়ে হৈ যোৱা ঘটনা বা কথা মনলৈ আন্"
"4891","To come together or combine, esp. for a common purpose or action",
"4892","A piece of conduct or work, which needs to be imitated by others","উদাহৰণ, অনুকৰণ কৰিব পৰা বস্তু। যেনে, কাপোৰৰ  ৰঙ বা ফূলৰ গঠন যিটো চাই আৰু পোচাক  বনাব পাৰি"
"4893","(Of weather, the sky, etc.) not dull or gloomy","যেনে ফৰকাল বতৰ"
"4894","AN AARNGEMENT TO WORK ALTERNATIVELY",
"4895","Widespread or generally prevalent views in the society.","সমাজত প্ৰচলিত জনপ্ৰিয় মতামত৷"
"4896","people kept in custody of some bad element to fulfil some demand","কোনো দাবী পূৰণৰ অৰ্থে অসৎ লোকে বন্দী কৰি ৰখা ব্যক্তি"
"4897","the nature of having physical relationship with someone of same sex","একে লিঙ্গৰ আন ব্যক্তিৰ সৈতে শাৰীৰিক সম্পৰ্ক ৰখা স্বভাৱ বা গুণ"
"4898","not paid, without receiving wages, given in honour","বেতন নোলোৱা বা নোপোৱা, দৰমহা নথকা"
"4899","attributing honour, as a sign of honour","সন্মানৰ চিন স্বৰূপে"
"4900","smooth stone used for sharpening instruments","অস্ত্ৰত ধাৰ দিবলৈ ব্যৱহৃত,কঠিন আৰু মিহি এবিধ শিল ।"
"4901","One kind of parboiled rice which becomes soft once kept in water and people used to take as snacks. ","তিয়াই থলে কোমল হোৱা এবিধ জলপান খোৱা উখোৱা চাউল ।"
"4902","to lower the dignity or respect of someone","কোনো ব্যক্তিৰ সন্মান বা মহত্ব লাঘৱ কৰ্"
"4903","the quality of being humble; modest opinion or estimate of one's own importance, rank, etc. ","বিনয়ী গুণ; নিজৰ গুৰুত্ব, পদবী আদি সম্পৰ্কে বিনয়ী মত বা অনুভৱ।"
"4904","a barrier framed by sticks or with other means.","খুঁটিৰে তৈয়াৰ কৰা বা অন্যধৰণেৰে সৃষ্টি কৰা বাধা বা বেৰা।"
"4905","to chase and kill wild animals","বন্য জন্তুৰ পিচে পিচে খেদ্ আৰু হত্যা কৰ্"
"4906","the act of chasing and killing wild animals",
"4907","the science of preserving or taking care of health","স্বাস্থ্যৰ যতন সম্পৰ্কে অধ্যয়ন কৰা বিজ্ঞান"
"4908","which is clean and good for health; something that is not harmful to health","যি পৰিষ্কাৰ আৰু স্বাস্থ্যৰ বাবে উপকাৰী; যি স্বাস্থ্যৰ বাবে হানিকাৰক নহয়"
"4909","thin membrane partially covering the vagina of a woman or girl. ","তিৰোতা অথবা ছোৱালীৰ যোনিক আংশিকভাৱে ঢাকি ৰখা এখন পাতল আৱৰণ| "
"4910","to put someone in a special state of mind where he/she can be completely controlled.","বিশেষ পৰামৰ্শৰ দ্বাৰা কোনো ব্যক্তিক মোহাচ্ছন্ন কৰি ৰাখ।
"
"4911","sleeplike state created by overpowering conscious mind.","সচেতন মনক দমন কৰি সৃষ্টি কৰা টোপনি-সদৃশ অৱস্থা।"
"4912","someone who can put people in a sleeplike state created by overpowering conscious mind","যিজন ব্যক্তিয়ে আনৰ সচেতন মনক দমন কৰি টোপনি-সদৃশ অৱস্থাৰ সৃষ্টি কৰে"
"4913","someone who follows or believes in  a ideology","যি কোনো নিৰ্দ্দিষ্ট আদৰ্শত বিশ্বাসী অথবা এক আদৰ্শ মানি চলে"
"4914","a large round raised part in body generally on a animal's or person's back",
"4915","A short humorous poem with five lines. The two long first lines rhyme with each other and are followed by two short lines that rhyme with each other. The last, long line rhyme with the first two.","পাঁচশাৰীৰ ব্যংগাত্মক কবিতা| প্ৰথম দুশাৰী দীঘলীয়া আৰু এক ছন্দযুক্ত| তৃতীয় আৰু চতুৰ্থ শাৰী চুটী, দুয়োশাৰী এক পাৰষ্পৰিক মিল থকা নতুন ছন্দেৰে গঠিত| শেষশাৰী আকৌ দীঘল আৰু প্ৰথম দুশাৰীৰ সৈতে একে ছন্দৰ।"
"4916","a writ issued to bring or produce a prisoner in person before a high court to ensure that his imprisonment or detention is not illegal.","কোনো বন্দীৰ কাৰাবাস বা  আটককৰণ অবৈধ নহয় বুলি নিশ্চিত কৰিবলৈ তেওঁক সোঁশৰীৰে উচ্চ ন্যায়ালয়ত হাজিৰ কৰোৱাবলৈ দিয়া এক পৰমাদেশ।"
"4917","a circle of educated and intelligent people with knowledge of and taste for literature","সাহিত্যৰ চমজদাৰ, উচ্চ শিক্ষিত ব্যক্তিৰ সমাজ"
"4918","the group of intellectuals and visionaries of a society with interests in art, culture, social issues etc.","সমাজ, কলা-সংষ্কৃতি, সাহিত্য আদিত আগ্ৰহ থকা আৰু এই বিলাকৰ বিষয়ে চিন্তা-চৰ্চা কৰিব পৰা বুদ্ধিজীৱী সমাজ"
"4919","a prison where political, civil prisoners are kept in very bad conditions","অসামৰিক,  ৰাজনৈতিক বন্দীক বৰ বেয়া ধৰণে ৰখা ফাটেক"
"4920","unlawfully, do something by breaking some law or rule",
"4921","not according to reason.","যুক্তি অনুসৰি নোহোৱা।"
"4922","The state of being not able to read or write","লিখা-পঢ়া নজনা অৱস্থা"
"4923","light up a place or some object",
"4924","enlightening, illuminated with light","পোহৰাই তোলা বা আলোকিত কৰা"
"4925","dwelling or existing something within a given entity.","আৱশ্যকীয় গুণ বা উপাদান ৰূপে কিহবাত থকা।"
"4926","not fully developed, not being as wise and calm as people expect from one\'s age or experience","পূৰাকৈ বিকশিত নোহোৱা; বয়স বা অভিজ্ঞতাৰ দিশৰ পৰা আশানুৰূপ জ্ঞানী বা নম্ৰ নোহোৱা"
"4927","dip into water or some fluid","পানী বা অন্য তৰলত ডুবাই দে"
"4928","to involve deeply in some work",
"4929","to make something immortal or everlasting","কিহবাক মৃত্যুহীন বা চিৰঞ্জীৱী কৰি তোল্"
"4930","that can not be traversed or difficult to reach","যি স্থানলৈ সহজে যাব নোৱাৰি বা যাবলৈ অসুবিধা"
"4931","not able to rest calmly as something exited is expected soon",
"4932","Not connected with the main subject.","মূল বিষয়ৰ লগত সম্পৰ্ক নথকা বা তাৰ সৈতে খাপ নোখোৱা| "
"4933","the conch shell used by Bhima during the Kurukshetra war","কুৰুক্ষেত্ৰ যুদ্ধত ভীমে ব্যৱহাৰ কৰা শংখটোৰ নাম"
"4934","a type of big banana with small seeds inside, a very nutritious baby food, found in North East India.","উত্তৰ-পূব ভাৰতত পোৱা এবিধ ডাঙৰ বিধৰ কল, ভিতৰত গুটি থাকে, অতি পুষ্টিকৰ শিশু খাদ্য"
"4935","something that solves all the problems of a particular situation or a medicine that cures all ailments","সকলো সমস্যা সমাধান কৰিব পৰা বা যিকোনো বেমাৰ নিৰাময় কৰিব পৰা বস্তু, দৰব বা সক্ষমতা"
"4936","incapacity, quality of not being able to do a task","কোনো কাম কৰিবলৈ অক্ষম অৱস্থা ৷"
"4937","to mark a surface by pressing something","কোনো সমান ঠাইত হেঁচা প্ৰয়োগ কৰি সাঁচ্ বহুৱা"
"4938","lack of vision or foresight",
"4939","the nature or quality of not having vision or foresight","ভৱিষ্যতৰ কথা চিন্তা কৰিব নোৱাৰা"
"4940","morally wrong or not suitable for given occasion.(deeds) ",
"4941","pertaining to an inauguration","উদ্বোধনৰ সৈতে জড়িত"
"4942","showing signs that something bad will happen.","কিবা এটা বেয়া হোৱাৰ সংকেত দিয়া।"
"4943","A green patina that forms on copper or brass or bronze that has been exposed to the air or water for long periods of time.","কাঁহ, পিতল আদিৰ পাত্ৰত টেঙা বা চোকা বস্তু থ`লে উৎপন্ন হোৱা সেউজীয়া বৰণৰ পাতল চামনি |"
"4944","unable to reach the end or complete ","আধা হৈ থকা বা পূৰ নোহোৱা ৷"
"4945","These are some sort of foods, compounds, or drugs taken to induce bowel movements or to loosen the stool, most often taken to treat constipation.","কোষ্ঠকাঠিন্য হ’লে ভেদ হবলৈ খোৱা ঔষধ/দৰৱ অথবা তেনে কোনো খাদ্য ।"
"4946","Measuring stick consisting of a strip of wood or metal or plastic with a straight edge that is used for drawing straight lines and measuring lengths. Some, it may not have the measuring arrangement. ","কাকতত পোনকৈ আঁক টানিবলৈ ব্যৱহাৰ কৰা কাঠ বা ধাতুৰ মাৰি; কেতিয়াবা খাঁজ কটা থাকিবও পাৰে |"
